month,ticker,issue
2015-01,ALTR,outside_data_range
2015-01,BRCM,outside_data_range
2015-01,CA,outside_data_range
2015-01,DISCA,outside_data_range
2015-01,DTV,outside_data_range
2015-01,FOXA,outside_data_range
2015-01,LLTC,outside_data_range
2015-01,LMCK,no_data_file
2015-01,QRTEA,outside_data_range
2015-01,SNDK,outside_data_range
2015-01,SPLS,outside_data_range
2015-01,VIP,no_data_file
2015-02,ALTR,outside_data_range
2015-02,BRCM,outside_data_range
2015-02,CA,outside_data_range
2015-02,DISCA,outside_data_range
2015-02,DTV,outside_data_range
2015-02,FOXA,outside_data_range
2015-02,LLTC,outside_data_range
2015-02,LMCK,no_data_file
2015-02,QRTEA,outside_data_range
2015-02,SNDK,outside_data_range
2015-02,SPLS,outside_data_range
2015-02,VIP,no_data_file
2015-03,ALTR,outside_data_range
2015-03,BRCM,outside_data_range
2015-03,CA,outside_data_range
2015-03,DISCA,outside_data_range
2015-03,DTV,outside_data_range
2015-03,FOXA,outside_data_range
2015-03,LLTC,outside_data_range
2015-03,LMCK,no_data_file
2015-03,QRTEA,outside_data_range
2015-03,SNDK,outside_data_range
2015-03,SPLS,outside_data_range
2015-03,VIP,no_data_file
2015-04,ALTR,outside_data_range
2015-04,BRCM,outside_data_range
2015-04,CA,outside_data_range
2015-04,DISCA,outside_data_range
2015-04,DTV,outside_data_range
2015-04,FOXA,outside_data_range
2015-04,LLTC,outside_data_range
2015-04,LMCK,no_data_file
2015-04,QRTEA,outside_data_range
2015-04,SNDK,outside_data_range
2015-04,SPLS,outside_data_range
2015-04,VIP,no_data_file
2015-05,ALTR,outside_data_range
2015-05,BRCM,outside_data_range
2015-05,CA,outside_data_range
2015-05,DISCA,outside_data_range
2015-05,DTV,outside_data_range
2015-05,FOXA,outside_data_range
2015-05,LLTC,outside_data_range
2015-05,LMCK,no_data_file
2015-05,QRTEA,outside_data_range
2015-05,SNDK,outside_data_range
2015-05,SPLS,outside_data_range
2015-05,VIP,no_data_file
