ticker,filed,end,shares,source
AAL,2010-07-21,2010-07-14,333050087,dei:EntityCommonStockSharesOutstanding
AAL,2010-10-20,2010-10-13,333286221,dei:EntityCommonStockSharesOutstanding
AAL,2011-02-16,2011-02-09,333435431,dei:EntityCommonStockSharesOutstanding
AAL,2011-04-20,2011-04-14,333461642,dei:EntityCommonStockSharesOutstanding
AAL,2011-07-20,2011-07-14,335207279,dei:EntityCommonStockSharesOutstanding
AAL,2011-10-19,2011-10-13,335227024,dei:EntityCommonStockSharesOutstanding
AAL,2012-02-15,2012-02-07,335271557,dei:EntityCommonStockSharesOutstanding
AAL,2012-04-19,2012-04-11,335271557,dei:EntityCommonStockSharesOutstanding
AAL,2012-07-18,2012-07-10,335271557,dei:EntityCommonStockSharesOutstanding
AAL,2012-10-17,2012-10-10,335271557,dei:EntityCommonStockSharesOutstanding
AAL,2013-02-20,2013-02-13,335271557,dei:EntityCommonStockSharesOutstanding
AAL,2013-04-18,2013-04-10,335271557,dei:EntityCommonStockSharesOutstanding
AAL,2013-07-18,2013-07-10,335525399,dei:EntityCommonStockSharesOutstanding
AAL,2013-10-17,2013-10-10,335598131,dei:EntityCommonStockSharesOutstanding
AAL,2014-02-28,2014-02-21,471517102,dei:EntityCommonStockSharesOutstanding
AAL,2014-04-24,2014-04-16,720196221,dei:EntityCommonStockSharesOutstanding
AAL,2014-07-24,2014-07-18,720102826,dei:EntityCommonStockSharesOutstanding
AAL,2014-10-23,2014-10-17,717263563,dei:EntityCommonStockSharesOutstanding
AAL,2015-02-25,2015-02-20,696649850,dei:EntityCommonStockSharesOutstanding
AAL,2015-04-24,2015-04-17,692798851,dei:EntityCommonStockSharesOutstanding
AAL,2015-07-24,2015-07-17,671820576,dei:EntityCommonStockSharesOutstanding
AAL,2015-10-23,2015-10-16,630325539,dei:EntityCommonStockSharesOutstanding
AAL,2016-02-24,2016-02-19,603018015,dei:EntityCommonStockSharesOutstanding
AAL,2016-04-22,2016-04-15,578171736,dei:EntityCommonStockSharesOutstanding
AAL,2016-07-22,2016-07-15,529913365,dei:EntityCommonStockSharesOutstanding
AAL,2016-10-20,2016-10-14,518125156,dei:EntityCommonStockSharesOutstanding
AAL,2017-02-22,2017-02-17,504154397,dei:EntityCommonStockSharesOutstanding
AAL,2017-04-27,2017-04-21,492588818,dei:EntityCommonStockSharesOutstanding
AAL,2017-07-28,2017-07-21,487009215,dei:EntityCommonStockSharesOutstanding
AAL,2017-10-26,2017-10-20,478499073,dei:EntityCommonStockSharesOutstanding
AAL,2018-02-21,2018-02-16,473138683,dei:EntityCommonStockSharesOutstanding
AAL,2018-04-26,2018-04-20,468152649,dei:EntityCommonStockSharesOutstanding
AAL,2018-07-26,2018-07-20,460509216,dei:EntityCommonStockSharesOutstanding
AAL,2018-10-25,2018-10-19,460581463,dei:EntityCommonStockSharesOutstanding
AAL,2019-02-25,2019-02-20,449055548,dei:EntityCommonStockSharesOutstanding
AAL,2019-04-26,2019-04-22,444835115,dei:EntityCommonStockSharesOutstanding
AAL,2019-07-25,2019-07-19,445270728,dei:EntityCommonStockSharesOutstanding
AAL,2019-10-24,2019-10-18,438057971,dei:EntityCommonStockSharesOutstanding
AAL,2020-02-19,2020-02-14,426058744,dei:EntityCommonStockSharesOutstanding
AAL,2020-04-30,2020-04-24,422894501,dei:EntityCommonStockSharesOutstanding
AAL,2020-07-23,2020-07-17,508561163,dei:EntityCommonStockSharesOutstanding
AAL,2020-10-22,2020-10-16,508631777,dei:EntityCommonStockSharesOutstanding
AAL,2021-02-17,2021-02-12,639675800,dei:EntityCommonStockSharesOutstanding
AAL,2021-04-22,2021-04-16,641383123,dei:EntityCommonStockSharesOutstanding
AAL,2021-07-22,2021-07-16,647457831,dei:EntityCommonStockSharesOutstanding
AAL,2021-10-21,2021-10-15,647514522,dei:EntityCommonStockSharesOutstanding
AAL,2022-02-22,2022-02-18,649160117,dei:EntityCommonStockSharesOutstanding
AAL,2022-04-21,2022-04-14,649514848,dei:EntityCommonStockSharesOutstanding
AAL,2022-07-21,2022-07-15,649845927,dei:EntityCommonStockSharesOutstanding
AAL,2022-10-20,2022-10-14,649900887,dei:EntityCommonStockSharesOutstanding
AAL,2023-02-22,2023-02-17,651430518,dei:EntityCommonStockSharesOutstanding
AAL,2023-04-27,2023-04-21,652862508,dei:EntityCommonStockSharesOutstanding
AAL,2023-07-20,2023-07-14,653362436,dei:EntityCommonStockSharesOutstanding
AAL,2023-10-19,2023-10-13,653540550,dei:EntityCommonStockSharesOutstanding
AAL,2024-02-21,2024-02-16,654756816,dei:EntityCommonStockSharesOutstanding
AAL,2024-04-25,2024-04-19,656090344,dei:EntityCommonStockSharesOutstanding
AAL,2024-07-25,2024-07-19,656703913,dei:EntityCommonStockSharesOutstanding
AAL,2024-10-24,2024-10-18,657130996,dei:EntityCommonStockSharesOutstanding
AAL,2025-02-19,2025-02-14,657575582,dei:EntityCommonStockSharesOutstanding
AAL,2025-04-24,2025-04-17,659512341,dei:EntityCommonStockSharesOutstanding
AAL,2025-07-24,2025-07-18,659828821,dei:EntityCommonStockSharesOutstanding
AAL,2025-10-23,2025-10-17,660086495,dei:EntityCommonStockSharesOutstanding
AAL,2026-02-18,2026-02-13,660304573,dei:EntityCommonStockSharesOutstanding
AAL,2026-04-23,2026-04-17,661385137,dei:EntityCommonStockSharesOutstanding
AAPL,2009-07-22,2009-06-27,895816758,dei:EntityCommonStockSharesOutstanding
AAPL,2009-10-27,2009-10-16,900678473,dei:EntityCommonStockSharesOutstanding
AAPL,2010-01-25,2010-01-15,906794589,dei:EntityCommonStockSharesOutstanding
AAPL,2010-04-21,2010-04-09,909938383,dei:EntityCommonStockSharesOutstanding
AAPL,2010-07-21,2010-07-09,913562880,dei:EntityCommonStockSharesOutstanding
AAPL,2010-10-27,2010-10-15,917307099,dei:EntityCommonStockSharesOutstanding
AAPL,2011-01-19,2011-01-07,921278012,dei:EntityCommonStockSharesOutstanding
AAPL,2011-04-21,2011-04-08,924754561,dei:EntityCommonStockSharesOutstanding
AAPL,2011-07-20,2011-07-08,927090886,dei:EntityCommonStockSharesOutstanding
