ticker,cik,company_name,found
AAL,0000006201,American Airlines Group Inc.,True
AAPL,0000320193,Apple Inc.,True
ABNB,0001559720,"Airbnb, Inc.",True
ADBE,0000796343,ADOBE INC.,True
ADI,0000006281,ANALOG DEVICES INC,True
ADP,0000008670,AUTOMATIC DATA PROCESSING INC,True
ADSK,0000769397,"Autodesk, Inc.",True
AEP,0000004904,AMERICAN ELECTRIC POWER CO INC,True
AKAM,0001086222,AKAMAI TECHNOLOGIES INC,True
ALAB,0001736297,"Astera Labs, Inc.",True
ALGN,0001097149,ALIGN TECHNOLOGY INC,True
ALNY,0001178670,"ALNYLAM PHARMACEUTICALS, INC.",True
ALTR,0000768251,ALTERA CORP,True
ALXN,0000899866,"ALEXION PHARMACEUTICALS, INC.",True
AMAT,0000006951,APPLIED MATERIALS INC /DE,True
AMD,0000002488,ADVANCED MICRO DEVICES INC,True
AMGN,0000318154,AMGEN INC,True
AMZN,0001018724,AMAZON COM INC,True
ANSS,0001013462,ANSYS INC,True
APP,0001751008,AppLovin Corp,True
ARM,0001973239,ARM HOLDINGS PLC /UK,True
ASML,0000937966,ASML HOLDING NV,True
ATVI,0000718877,"Activision Blizzard, Inc.",True
AVGO,0001730168,Broadcom Inc.,True
AXON,0001069183,"AXON ENTERPRISE, INC.",True
AZN,0000901832,ASTRAZENECA PLC,True
BATRA,0001958140,"Atlanta Braves Holdings, Inc.",True
BATRK,0001958140,"Atlanta Braves Holdings, Inc.",True
BBBY,0001130713,"BED BATH & BEYOND, INC.",True
BIDU,0001329099,"Baidu, Inc.",True
BIIB,0000875045,BIOGEN INC.,True
BKNG,0001075531,Booking Holdings Inc.,True
BKR,0001701605,Baker Hughes Co,True
BMRN,0001048477,BIOMARIN PHARMACEUTICAL INC,True
BRCM,0001054374,BROADCOM CORP,True
CA,0000356028,"CA, INC.",True
CCEP,0001650107,COCA-COLA EUROPACIFIC PARTNERS plc,True
CDNS,0000813672,CADENCE DESIGN SYSTEMS INC,True
CDW,0001402057,CDW Corp,True
CEG,0001868275,Constellation Energy Corp,True
CELG,0000816284,CELGENE CORP /DE/,True
CERN,0000804753,CERNER Corp,True
CHKP,0001015922,CHECK POINT SOFTWARE TECHNOLOGIES LTD,True
CHRW,0001043277,"C. H. ROBINSON WORLDWIDE, INC.",True
CHTR,0001091667,"CHARTER COMMUNICATIONS, INC. /MO/",True
CMCSA,0001166691,COMCAST CORP,True
COST,0000909832,COSTCO WHOLESALE CORP /NEW,True
CPRT,0000900075,COPART INC,True
CRWD,0001535527,"CrowdStrike Holdings, Inc.",True
CRWV,0001769628,"CoreWeave, Inc.",True
CSCO,0000858877,"CISCO SYSTEMS, INC.",True
CSGP,0001057352,"COSTAR GROUP, INC.",True
CSX,0000277948,CSX CORP,True
CTAS,0000723254,CINTAS CORP,True
CTRP,0001269238,Trip.com Group Ltd,True
CTRX,0001363851,Catamaran Corp,True
CTSH,0001058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,True
CTXS,0000877890,CITRIX SYSTEMS INC,True
DASH,0001792789,"DoorDash, Inc.",True
DDOG,0001561550,"Datadog, Inc.",True
DISCA,0001437107,"Warner Bros. Discovery, Inc.",True
DISCK,0001437107,"Warner Bros. Discovery, Inc.",True
DISH,0001001082,DISH Network CORP,True
DLTR,0000935703,"DOLLAR TREE, INC.",True
DOCU,0001261333,"DOCUSIGN, INC.",True
DTV,0001465112,?,True
DXCM,0001093557,DEXCOM INC,True
EA,0000712515,ELECTRONIC ARTS INC.,True
EBAY,0001065088,EBAY INC,True
ENDP,0001593034,Endo International plc,True
ENPH,0001463101,"Enphase Energy, Inc.",True
EQIX,0001101239,EQUINIX INC,True
ESRX,0001532063,?,True
EXC,0001109357,EXELON CORP,True
EXPD,0000746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,True
EXPE,0001324424,"Expedia Group, Inc.",True
FANG,0001539838,"Diamondback Energy, Inc.",True
FAST,0000815556,FASTENAL CO,True
FER,0001468522,Ferrovial N.V.,True
FISV,0000798354,FISERV INC,True
FOXA,0001754301,Fox Corp,True
FTNT,0001262039,"Fortinet, Inc.",True
GEHC,0001932393,GE HealthCare Technologies Inc.,True
GFS,0001709048,GLOBALFOUNDRIES Inc.,True
GILD,0000882095,"GILEAD SCIENCES, INC.",True
GMCR,0000909954,"KEURIG GREEN MOUNTAIN, INC.",True
GOOGL,0001652044,Alphabet Inc.,True
GRMN,0001121788,GARMIN LTD,True
HAS,0000046080,"HASBRO, INC.",True
HOLX,0000859737,HOLOGIC INC,True
HON,0000773840,HONEYWELL INTERNATIONAL INC,True
HSIC,0001000228,HENRY SCHEIN INC,True
IDXX,0000874716,IDEXX LABORATORIES INC /DE,True
ILMN,0001110803,"ILLUMINA, INC.",True
INCY,0000879169,INCYTE CORP,True
INSM,0001104506,INSMED Inc,True
INTC,0000050863,INTEL CORP,True
INTU,0000896878,INTUIT INC.,True
ISRG,0001035267,INTUITIVE SURGICAL INC,True
JBHT,0000728535,HUNT J B TRANSPORT SERVICES INC,True
JD,0001549802,"JD.com, Inc.",True
KDP,0001418135,Keurig Dr Pepper Inc.,True
KHC,0001637459,Kraft Heinz Co,True
KLAC,0000319201,KLA CORP,True
KRFT,0001545158,"Kraft Foods Group, Inc.",True
LBTYA,0001570585,Liberty Global Ltd.,True
LCID,0001811210,"Lucid Group, Inc.",True
LILA,0001712184,Liberty Latin America Ltd.,True
LIN,0001707925,LINDE PLC,True
LITE,0001633978,Lumentum Holdings Inc.,True
LLTC,0000791907,LINEAR TECHNOLOGY CORP /CA/,True
LMCA,0001560385,Liberty Media Corp,True
LMCK,0001560385,Liberty Media Corp,True
LRCX,0000707549,LAM RESEARCH CORP,True
LULU,0001397187,lululemon athletica inc.,True
MAR,0001048286,MARRIOTT INTERNATIONAL INC /MD/,True
MAT,0000063276,MATTEL INC /DE/,True
MCHP,0000827054,MICROCHIP TECHNOLOGY INC,True
MDB,0001441816,"MongoDB, Inc.",True
MDLZ,0001103982,"Mondelez International, Inc.",True
MELI,0001099590,MERCADOLIBRE INC,True
META,0001326801,"Meta Platforms, Inc.",True
MNST,0000865752,Monster Beverage Corp,True
MPWR,0001280452,MONOLITHIC POWER SYSTEMS INC,True
MRNA,0001682852,"Moderna, Inc.",True
MRVL,0001835632,"Marvell Technology, Inc.",True
MSFT,0000789019,MICROSOFT CORP,True
MSTR,0001050446,Strategy Inc,True
MTCH,0000891103,"Match Group, Inc.",True
MU,0000723125,MICRON TECHNOLOGY INC,True
MXIM,0000743316,MAXIM INTEGRATED PRODUCTS INC,True
MYL,0001623613,?,True
NBIS,0001513845,Nebius Group N.V.,True
NCLH,0001513761,Norwegian Cruise Line Holdings Ltd.,True
NFLX,0001065280,NETFLIX INC,True
NLOK,0000849399,Gen Digital Inc.,True
NTAP,0001002047,"NetApp, Inc.",True
NTES,0001110646,"NetEase, Inc.",True
NVDA,0001045810,NVIDIA CORP,True
NXPI,0001413447,NXP Semiconductors N.V.,True
ODFL,0000878927,"OLD DOMINION FREIGHT LINE, INC.",True
OKTA,0001660134,"Okta, Inc.",True
ON,0001097864,ON SEMICONDUCTOR CORP,True
ORLY,0000898173,O REILLY AUTOMOTIVE INC,True
PANW,0001327567,Palo Alto Networks Inc,True
PAYX,0000723531,PAYCHEX INC,True
PCAR,0000075362,PACCAR INC,True
PDD,0001737806,PDD Holdings Inc.,True
