month,tickers
2015-01,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALTR;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BRCM;CA;CELG;CERN;CHKP;CHRW;CHTR;CMCSA;COST;CSCO;CTRX;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;DTV;EA;EBAY;EQIX;ESRX;EXPD;FAST;FISV;FOXA;GILD;GMCR;GOOGL;GRMN;HSIC;ILMN;INTC;INTU;ISRG;KLAC;KRFT;LBTYA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MYL;NFLX;NLOK;NTAP;NVDA;NXPI;ORLY;PAYX;PCAR;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIAL;SIRI;SNDK;SPLS;SRCL;STX;TRIP;TSCO;TSLA;TXN;VIAB;VIP;VOD;VRSK;VRTX;WDC;WFM;WYNN;XLNX;YHOO
2015-02,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALTR;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BRCM;CA;CELG;CERN;CHKP;CHRW;CHTR;CMCSA;COST;CSCO;CTRX;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;DTV;EA;EBAY;EQIX;ESRX;EXPD;FAST;FISV;FOXA;GILD;GMCR;GOOGL;GRMN;HSIC;ILMN;INTC;INTU;ISRG;KLAC;KRFT;LBTYA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MYL;NFLX;NLOK;NTAP;NVDA;NXPI;ORLY;PAYX;PCAR;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIAL;SIRI;SNDK;SPLS;SRCL;STX;TRIP;TSCO;TSLA;TXN;VIAB;VIP;VOD;VRSK;VRTX;WDC;WFM;WYNN;XLNX;YHOO
2015-03,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALTR;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BRCM;CA;CELG;CERN;CHKP;CHRW;CHTR;CMCSA;COST;CSCO;CTRX;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;DTV;EA;EBAY;EQIX;ESRX;EXPD;FAST;FISV;FOXA;GILD;GMCR;GOOGL;GRMN;HSIC;ILMN;INTC;INTU;ISRG;KLAC;KRFT;LBTYA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MYL;NFLX;NLOK;NTAP;NVDA;NXPI;ORLY;PAYX;PCAR;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIAL;SIRI;SNDK;SPLS;SRCL;STX;TRIP;TSCO;TSLA;TXN;VIAB;VIP;VOD;VRSK;VRTX;WDC;WFM;WYNN;XLNX;YHOO
2015-04,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALTR;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BRCM;CA;CELG;CERN;CHKP;CHRW;CHTR;CMCSA;COST;CSCO;CTRX;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;DTV;EA;EBAY;ESRX;EXPD;FAST;FISV;FOXA;GILD;GMCR;GOOGL;GRMN;HSIC;ILMN;INTC;INTU;ISRG;KLAC;KRFT;LBTYA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MYL;NFLX;NLOK;NTAP;NVDA;NXPI;ORLY;PAYX;PCAR;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIAL;SIRI;SNDK;SPLS;SRCL;STX;TRIP;TSCO;TSLA;TXN;VIAB;VIP;VOD;VRSK;VRTX;WBA;WDC;WFM;WYNN;XLNX;YHOO
2015-05,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALTR;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BRCM;CA;CELG;CERN;CHKP;CHRW;CHTR;CMCSA;COST;CSCO;CTRX;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;DTV;EA;EBAY;ESRX;EXPD;FAST;FISV;FOXA;GILD;GMCR;GOOGL;GRMN;HSIC;ILMN;INTC;INTU;ISRG;KLAC;KRFT;LBTYA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MYL;NFLX;NLOK;NTAP;NVDA;NXPI;ORLY;PAYX;PCAR;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIAL;SIRI;SNDK;SPLS;SRCL;STX;TRIP;TSCO;TSLA;TXN;VIAB;VIP;VOD;VRSK;VRTX;WBA;WDC;WFM;WYNN;XLNX;YHOO
2015-06,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALTR;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BRCM;CA;CELG;CERN;CHKP;CHRW;CHTR;CMCSA;COST;CSCO;CTRX;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;DTV;EA;EBAY;ESRX;EXPD;FAST;FISV;FOXA;GILD;GMCR;GOOGL;GRMN;HSIC;ILMN;INTC;INTU;ISRG;KLAC;KRFT;LBTYA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MYL;NFLX;NLOK;NTAP;NVDA;NXPI;ORLY;PAYX;PCAR;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIAL;SIRI;SNDK;SPLS;SRCL;STX;TRIP;TSCO;TSLA;TXN;VIAB;VIP;VOD;VRSK;VRTX;WBA;WDC;WFM;WYNN;XLNX;YHOO
2015-07,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALTR;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BRCM;CA;CELG;CERN;CHKP;CHRW;CHTR;CMCSA;COST;CSCO;CTRX;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;DTV;EA;EBAY;ESRX;EXPD;FAST;FISV;FOXA;GILD;GMCR;GOOGL;GRMN;HSIC;ILMN;INTC;INTU;ISRG;KLAC;KRFT;LBTYA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MYL;NFLX;NLOK;NTAP;NVDA;NXPI;ORLY;PAYX;PCAR;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIAL;SIRI;SNDK;SPLS;SRCL;STX;TRIP;TSCO;TSLA;TXN;VIAB;VIP;VOD;VRSK;VRTX;WBA;WDC;WFM;WYNN;XLNX;YHOO
2015-08,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALTR;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BMRN;BRCM;CA;CELG;CERN;CHKP;CHRW;CHTR;CMCSA;COST;CSCO;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;EA;EBAY;ESRX;EXPD;FAST;FISV;FOXA;GILD;GMCR;GOOGL;GRMN;HSIC;ILMN;INTC;INTU;ISRG;JD;KHC;KLAC;LBTYA;LILA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MYL;NFLX;NLOK;NTAP;NVDA;NXPI;ORLY;PAYX;PCAR;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIAL;SIRI;SNDK;SPLS;SRCL;STX;TRIP;TSCO;TSLA;TXN;VIAB;VIP;VOD;VRSK;VRTX;WBA;WDC;WFM;WYNN;XLNX;YHOO
2015-09,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALTR;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BMRN;BRCM;CA;CELG;CERN;CHKP;CHRW;CHTR;CMCSA;COST;CSCO;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;EA;EBAY;ESRX;EXPD;FAST;FISV;FOXA;GILD;GMCR;GOOGL;GRMN;HSIC;ILMN;INTC;INTU;ISRG;JD;KHC;KLAC;LBTYA;LILA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MYL;NFLX;NLOK;NTAP;NVDA;NXPI;ORLY;PAYX;PCAR;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIRI;SNDK;SPLS;SRCL;STX;SWKS;TRIP;TSCO;TSLA;TXN;VIAB;VIP;VOD;VRSK;VRTX;WBA;WDC;WFM;WYNN;XLNX;YHOO
2015-10,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALTR;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BMRN;BRCM;CA;CELG;CERN;CHKP;CHRW;CHTR;CMCSA;COST;CSCO;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;EA;EBAY;ESRX;EXPD;FAST;FISV;FOXA;GILD;GMCR;GOOGL;GRMN;HSIC;ILMN;INTC;INTU;ISRG;JD;KHC;KLAC;LBTYA;LILA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MYL;NFLX;NLOK;NTAP;NVDA;NXPI;ORLY;PAYX;PCAR;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIRI;SNDK;SPLS;SRCL;STX;SWKS;TRIP;TSCO;TSLA;TXN;VIAB;VIP;VOD;VRSK;VRTX;WBA;WDC;WFM;WYNN;XLNX;YHOO
2015-11,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BMRN;BRCM;CA;CELG;CERN;CHKP;CHRW;CHTR;CMCSA;COST;CSCO;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;EA;EBAY;ESRX;EXPD;FAST;FISV;FOXA;GILD;GMCR;GOOGL;GRMN;HSIC;ILMN;INCY;INTC;INTU;ISRG;JD;KHC;KLAC;LBTYA;LILA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MYL;NFLX;NLOK;NTAP;NVDA;NXPI;ORLY;PAYX;PCAR;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIRI;SNDK;SPLS;SRCL;STX;SWKS;TRIP;TSCO;TSLA;TXN;VIAB;VIP;VOD;VRSK;VRTX;WBA;WDC;WFM;WYNN;XLNX;YHOO
2015-12,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BMRN;CA;CELG;CERN;CHKP;CHRW;CHTR;CMCSA;COST;CSCO;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;EA;EBAY;ESRX;EXPD;FAST;FISV;FOXA;GILD;GMCR;GOOGL;GRMN;HSIC;ILMN;INCY;INTC;INTU;ISRG;JD;KHC;KLAC;LBTYA;LILA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MYL;NFLX;NLOK;NTAP;NVDA;NXPI;ORLY;PAYX;PCAR;PYPL;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIRI;SNDK;SPLS;SRCL;STX;SWKS;TRIP;TSCO;TSLA;TXN;VIAB;VIP;VOD;VRSK;VRTX;WBA;WDC;WFM;WYNN;XLNX;YHOO
2016-01,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BMRN;CA;CELG;CERN;CHKP;CHTR;CMCSA;COST;CSCO;CTRP;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;EA;EBAY;ENDP;ESRX;EXPE;FAST;FISV;FOXA;GILD;GOOGL;HSIC;ILMN;INCY;INTC;INTU;ISRG;JD;KHC;KLAC;LBTYA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MXIM;MYL;NCLH;NFLX;NLOK;NTAP;NVDA;NXPI;ORLY;PAYX;PCAR;PYPL;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIRI;SNDK;SRCL;STX;SWKS;TMUS;TRIP;TSCO;TSLA;TXN;ULTA;VIAB;VOD;VRSK;VRTX;WBA;WDC;WFM;XLNX;YHOO
2016-02,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BMRN;CA;CELG;CERN;CHKP;CHTR;CMCSA;COST;CSCO;CTRP;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;EA;EBAY;ENDP;ESRX;EXPE;FAST;FISV;FOXA;GILD;GOOGL;HSIC;ILMN;INCY;INTC;INTU;ISRG;JD;KHC;KLAC;LBTYA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MXIM;MYL;NCLH;NFLX;NLOK;NTAP;NVDA;NXPI;ORLY;PAYX;PCAR;PYPL;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIRI;SNDK;SRCL;STX;SWKS;TMUS;TRIP;TSCO;TSLA;TXN;ULTA;VIAB;VOD;VRSK;VRTX;WBA;WDC;WFM;XLNX;YHOO
2016-03,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BMRN;CA;CELG;CERN;CHKP;CHTR;CMCSA;COST;CSCO;CSX;CTRP;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;EA;EBAY;ENDP;ESRX;EXPE;FAST;FISV;FOXA;GILD;GOOGL;HSIC;ILMN;INCY;INTC;INTU;ISRG;JD;KHC;LBTYA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MXIM;MYL;NCLH;NFLX;NLOK;NTAP;NVDA;NXPI;ORLY;PAYX;PCAR;PYPL;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIRI;SNDK;SRCL;STX;SWKS;TMUS;TRIP;TSCO;TSLA;TXN;ULTA;VIAB;VOD;VRSK;VRTX;WBA;WDC;WFM;XLNX;YHOO
2016-04,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BMRN;CA;CELG;CERN;CHKP;CHTR;CMCSA;COST;CSCO;CSX;CTRP;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;EA;EBAY;ENDP;ESRX;EXPE;FAST;FISV;FOXA;GILD;GOOGL;HSIC;ILMN;INCY;INTC;INTU;ISRG;JD;KHC;LBTYA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MXIM;MYL;NCLH;NFLX;NLOK;NTAP;NTES;NVDA;NXPI;ORLY;PAYX;PCAR;PYPL;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIRI;SRCL;STX;SWKS;TMUS;TRIP;TSCO;TSLA;TXN;ULTA;VIAB;VOD;VRSK;VRTX;WBA;WDC;WFM;XLNX;YHOO
2016-05,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BATRA;BATRK;BBBY;BIDU;BIIB;BKNG;BMRN;CA;CELG;CERN;CHKP;CHTR;CMCSA;COST;CSCO;CSX;CTRP;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;EA;EBAY;ENDP;ESRX;EXPE;FAST;FISV;FOXA;GILD;GOOGL;HSIC;ILMN;INCY;INTC;INTU;ISRG;JD;KHC;LBTYA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MXIM;MYL;NCLH;NFLX;NLOK;NTAP;NTES;NVDA;NXPI;ORLY;PAYX;PCAR;PYPL;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIRI;SRCL;STX;SWKS;TMUS;TRIP;TSCO;TSLA;TXN;ULTA;VIAB;VOD;VRSK;VRTX;WBA;WDC;WFM;XLNX;YHOO
2016-06,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BATRA;BATRK;BBBY;BIDU;BIIB;BKNG;BMRN;CA;CELG;CERN;CHKP;CHTR;CMCSA;COST;CSCO;CSX;CTRP;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;EA;EBAY;ENDP;ESRX;EXPE;FAST;FISV;FOXA;GILD;GOOGL;HSIC;ILMN;INCY;INTC;INTU;ISRG;JD;KHC;LBTYA;LLTC;LMCA;LMCK;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MXIM;MYL;NCLH;NFLX;NLOK;NTAP;NTES;NVDA;NXPI;ORLY;PAYX;PCAR;PYPL;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIRI;SRCL;STX;SWKS;TMUS;TRIP;TSCO;TSLA;TXN;ULTA;VIAB;VOD;VRSK;VRTX;WBA;WDC;WFM;XLNX;YHOO
2016-07,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BMRN;CA;CELG;CERN;CHKP;CHTR;CMCSA;COST;CSCO;CSX;CTRP;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;EA;EBAY;ENDP;ESRX;EXPE;FAST;FISV;FOXA;GILD;GOOGL;HSIC;ILMN;INCY;INTC;INTU;ISRG;JD;KHC;LBTYA;LLTC;LRCX;MAR;MAT;MDLZ;META;MNST;MSFT;MU;MXIM;MYL;NCLH;NFLX;NLOK;NTAP;NTES;NVDA;NXPI;ORLY;PAYX;PCAR;PYPL;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIRI;SRCL;STX;SWKS;TMUS;TRIP;TSCO;TSLA;TXN;ULTA;VIAB;VOD;VRSK;VRTX;WBA;WDC;WFM;XLNX;XRAY;YHOO
2016-08,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BMRN;CA;CELG;CERN;CHKP;CHTR;CMCSA;COST;CSCO;CSX;CTRP;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;EA;EBAY;ESRX;EXPE;FAST;FISV;FOXA;GILD;GOOGL;HSIC;ILMN;INCY;INTC;INTU;ISRG;JD;KHC;LBTYA;LLTC;LRCX;MAR;MAT;MCHP;MDLZ;META;MNST;MSFT;MU;MXIM;MYL;NCLH;NFLX;NLOK;NTAP;NTES;NVDA;NXPI;ORLY;PAYX;PCAR;PYPL;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIRI;SRCL;STX;SWKS;TMUS;TRIP;TSCO;TSLA;TXN;ULTA;VIAB;VOD;VRSK;VRTX;WBA;WDC;WFM;XLNX;XRAY;YHOO
2016-09,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BMRN;CA;CELG;CERN;CHKP;CHTR;CMCSA;COST;CSCO;CSX;CTRP;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;EA;EBAY;ESRX;EXPE;FAST;FISV;FOXA;GILD;GOOGL;HSIC;ILMN;INCY;INTC;INTU;ISRG;JD;KHC;LBTYA;LLTC;LRCX;MAR;MAT;MCHP;MDLZ;META;MNST;MSFT;MU;MXIM;MYL;NCLH;NFLX;NLOK;NTAP;NTES;NVDA;NXPI;ORLY;PAYX;PCAR;PYPL;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIRI;SRCL;STX;SWKS;TMUS;TRIP;TSCO;TSLA;TXN;ULTA;VIAB;VOD;VRSK;VRTX;WBA;WDC;WFM;XLNX;XRAY;YHOO
2016-10,AAL;AAPL;ADBE;ADI;ADP;ADSK;AKAM;ALXN;AMAT;AMGN;AMZN;ATVI;AVGO;BBBY;BIDU;BIIB;BKNG;BMRN;CA;CELG;CERN;CHKP;CHTR;CMCSA;COST;CSCO;CSX;CTRP;CTSH;CTXS;DISCA;DISCK;DISH;DLTR;EA;EBAY;ESRX;EXPE;FAST;FISV;FOXA;GILD;GOOGL;HSIC;ILMN;INCY;INTC;INTU;ISRG;JD;KHC;LBTYA;LLTC;LRCX;MAR;MAT;MCHP;MDLZ;META;MNST;MSFT;MU;MXIM;MYL;NCLH;NFLX;NLOK;NTAP;NTES;NVDA;NXPI;ORLY;PAYX;PCAR;PYPL;QCOM;QRTEA;REGN;ROST;SBAC;SBUX;SIRI;SRCL;STX;SWKS;TMUS;TRIP;TSCO;TSLA;TXN;ULTA;VIAB;VOD;VRSK;VRTX;WBA;WDC;WFM;XLNX;XRAY;YHOO
