month,holdings
2015-01,AAL;EA;GMCR;AVGO;ILMN;NXPI;MNST;MU;TSLA;MAR;VRTX;LRCX;AAPL;REGN;INTC;AMGN;ALXN;SIAL;META;ORLY
2015-02,AVGO;EA;GMCR;AAL;MAR;MNST;NXPI;LRCX;AAPL;INTC;MU;AMAT;VRTX;SIAL;CELG;ORLY;KLAC;BIDU;REGN;YHOO
2015-03,EA;AVGO;AAPL;MNST;LRCX;CELG;SIAL;NXPI;CHRW;MAR;INTC;VRTX;AAL;DLTR;BIDU;ROST;GILD;REGN;FISV;SBUX
2015-04,MNST;AVGO;EA;CELG;AAPL;VRTX;DLTR;LRCX;MAR;SIAL;ROST;CHTR;GILD;NXPI;CHRW;ORLY;REGN;FISV;COST;SBAC
2015-05,EA;MNST;AVGO;VRTX;NXPI;CTRX;KRFT;CELG;ROST;DLTR;REGN;AAL;BBBY;AAPL;BIIB;AMGN;ORLY;SIAL;CERN;CHTR
2015-06,MNST;VRTX;AVGO;EA;NXPI;REGN;KRFT;ORLY;ROST;MYL;DLTR;SIAL;CELG;BBBY;AAPL;AMGN;SBUX;AKAM;CTRX;AMZN
2015-07,AVGO;REGN;MNST;EA;NXPI;ROST;ORLY;KRFT;TSCO;AAPL;NFLX;MYL;SIAL;DLTR;BBBY;SBUX;CTRX;VRTX;GILD;AMGN
2015-08,BMRN;MNST;EA;AVGO;REGN;ROST;NXPI;NFLX;ORLY;TSCO;DLTR;SBUX;SIAL;VRTX;BBBY;AMZN;MYL;ILMN;FISV;AAPL
2015-09,BMRN;EA;MNST;SWKS;NFLX;WBA;AMZN;REGN;AVGO;ORLY;SBUX;ROST;DLTR;VRTX;NXPI;TSCO;CELG;CTSH;FISV;LBTYA
2015-10,EA;BMRN;NFLX;ORLY;AMZN;SWKS;MNST;WBA;SBUX;AVGO;REGN;CTSH;TSCO;ATVI;DLTR;ROST;FISV;LBTYA;MDLZ;CELG
2015-11,NFLX;AMZN;EA;INCY;ATVI;SBUX;AVGO;SWKS;ORLY;MNST;WBA;NVDA;CTSH;BMRN;NXPI;ROST;FISV;MDLZ;META;VRSK
2015-12,NFLX;AMZN;EA;ATVI;SBUX;INCY;ORLY;NVDA;FISV;GOOGL;REGN;AVGO;META;BMRN;CTSH;BKNG;WBA;CTXS;MNST;TSCO
2016-01,NFLX;CTRP;AMZN;ATVI;NVDA;INCY;SBUX;EXPE;EA;GOOGL;MNST;ORLY;FISV;META;REGN;JD;TMUS;AVGO;ULTA;ADBE
2016-02,CTRP;AMZN;ATVI;NFLX;NVDA;EXPE;GOOGL;AVGO;MSFT;ULTA;SBUX;META;INCY;ORLY;ADBE;NCLH;REGN;JD;TMUS;MDLZ
2016-03,CTRP;AMZN;ATVI;META;NFLX;GOOGL;NVDA;SBUX;ULTA;MSFT;ORLY;TMUS;XLNX;FISV;MDLZ;EA;ADBE;ROST;EXPE;CTXS
2016-04,NFLX;NVDA;MAT;AMZN;CTRP;ATVI;META;GOOGL;NTES;MSFT;SBUX;FISV;ORLY;HSIC;TMUS;ADBE;XLNX;MDLZ;FAST;ISRG
2016-05,NVDA;ATVI;META;AMZN;GOOGL;CTRP;AVGO;FISV;NFLX;ULTA;MAT;HSIC;ORLY;ADBE;ROST;SBUX;ISRG;FAST;CTXS;MSFT
2016-06,NVDA;AMZN;META;ATVI;ULTA;GOOGL;ISRG;MAT;CTXS;ROST;FISV;ORLY;ADBE;HSIC;CHTR;FAST;BKNG;MNST;ADSK;TSCO
2016-07,NVDA;AMZN;ATVI;ULTA;GOOGL;META;MAT;ISRG;AMAT;CHTR;FISV;CTRP;NTES;MSFT;ADBE;HSIC;XRAY;CTXS;TXN;PAYX
2016-08,NVDA;ATVI;ULTA;MAT;NTES;AMAT;AMZN;PAYX;TXN;AVGO;FISV;ISRG;CHTR;MCHP;META;DLTR;HSIC;ADP;INTC;ADBE
